report_period,report_year,report_month,source_file,project_code,project_name,agency,approval_date,original_doc,revised_doc,anticipated_doc,original_cost_cr,revised_cost_cr,anticipated_cost_cr,cost_overrun_cr,cost_overrun_pct,cumulative_expenditure_cr,physical_progress_pct,financial_progress_pct,financial_vs_physical_gap_pct,time_overrun_months,delay_risk_level,root_cause_category,delay_narrative,sector,state,cost_escalation_ratio,expenditure_burn_ratio,log_original_cost,fund_drain_anomaly_flag,planned_duration_months,root_cause,delay_duration_days,risk_level,id
JUN-2013,2013,JUN,FR_JUN_2013.pdf,240106250,"ORAI TO JHANSI (UP-5),NH-25, KM.220.0 TO KM.170.0(NATIONAL HIGHWAYS AUTHORITY OF INDIA)",NATIONAL HIGHWAYS AUTHORITY OF INDIA,,03/2008,,03/2008,340.68,,400.56,59.88,17.58,400.56,100.0,117.58,17.58,0.0,Medium,General Execution Delay,,Road Transport & Highways,Uttar Pradesh,1.176,1.176,5.834,1,36.0,On Schedule,0,Medium,1010
JUN-2013,2013,JUN,FR_JUN_2013.pdf,N18000078,765KV SYSTEM FOR CENTRAL PART OF NORTHERN REGION G(POWER GRID CORPORATION OF INDIA LIMITED),POWER GRID CORPORATION OF INDIA LIMITED,,06/2012,,06/2012,1736.36,,1736.36,0.0,0.0,1240.75,71.46,71.46,0.0,0.0,Low,On Schedule,,Power & Renewable Energy,Multi-State / Central,1.0,0.715,7.46,0,36.0,On Schedule,0,Low,1011
JUN-2013,2013,JUN,FR_JUN_2013.pdf,N18000068,765 KV SYSTEM FOR CENTRAL PART OF NORTHERN GRID PA(POWER GRID CORPORATION OF INDIA LIMITED),POWER GRID CORPORATION OF INDIA LIMITED,,02/2012,,02/2012,1347.32,,1347.32,0.0,0.0,1206.1,89.52,89.52,0.0,0.0,Low,On Schedule,,Power & Renewable Energy,Multi-State / Central,1.0,0.895,7.207,0,36.0,On Schedule,0,Low,1012
JUN-2013,2013,JUN,FR_JUN_2013.pdf,N08000006,NANGAL - AMMONIA PLANT FEEDSTOCK PROJECT(NATIONAL FERTILISER LIMITED),NATIONAL FERTILISER LIMITED,,01/2013,,01/2013,1478.63,,1478.63,0.0,0.0,1133.0,76.62,76.62,0.0,0.0,Low,On Schedule,,Other Infrastructure,Multi-State / Central,1.0,0.766,7.3,0,36.0,On Schedule,0,Low,1013
JUL-2013,2013,JUL,FR_July_2013.pdf,N18000091,NORTHERN REGION SYSTEM STRENGTHENING SCHEME- XXII(POWER GRID CORPORATION OF INDIA LIMITED),POWER GRID CORPORATION OF INDIA LIMITED,,08/2013,,08/2013,209.78,,209.78,0.0,0.0,52.2,24.88,24.88,0.0,0.0,Low,On Schedule,,Power & Renewable Energy,Multi-State / Central,1.0,0.249,5.351,0,36.0,On Schedule,0,Low,1014
FEB-2013,2013,FEB,FR_FEB_2013.pdf,N22000096,"RAJPIPLA-ANKELASHWAR, WR (GC)(WESTERN RAILWAY)",GC,,03/2011,,03/2011,196.97,,218.66,21.69,11.01,218.66,100.0,111.01,11.01,0.0,Low,On Schedule,,Railways,Multi-State / Central,1.11,1.11,5.288,0,36.0,On Schedule,0,Low,1015
NOV-2013,2013,NOV,FR_Nov_2013.pdf,220100190,"KADUR-CHIKMAGALUR-SAKLESHPUR (NL),(SWR) (SOUTH WESTERN RAILWAY)",NL,,03/2012,,03/2012,157.0,,330.38,173.38,110.43,330.38,100.0,210.43,110.43,0.0,High,General Execution Delay,,Railways,Multi-State / Central,2.104,2.104,5.063,1,36.0,On Schedule,0,High,1016
SEP-2013,2013,SEP,FR_Sep_2013.pdf,N18000007,CHUTAK HYDRO-ELECTRIC PROJECT (NHPC)(NATIONAL HYDRO- ELECTRIC POWER CORPORATION),NHPC,,02/2011,,02/2011,621.26,,731.93,110.67,17.81,731.93,100.0,117.81,17.81,0.0,Medium,General Execution Delay,,Power & Renewable Energy,Multi-State / Central,1.178,1.178,6.433,1,36.0,On Schedule,0,Medium,1017
SEP-2013,2013,SEP,FR_Sep_2013.pdf,180100222,TEESTA LOW DAM STAGE III HYDROELECTRIC POWER PROJE(NATIONAL HYDRO-ELECTRIC POWER CORPORATION),,,03/2007,,03/2007,768.92,,1467.53,698.61,90.86,1467.53,100.0,190.86,90.86,0.0,High,General Execution Delay,,Power & Renewable Energy,Multi-State / Central,1.909,1.909,6.646,1,36.0,On Schedule,0,High,1018
SEP-2013,2013,SEP,FR_Sep_2013.pdf,N22000076,PANSPURA-KHARAGPUR 3D LINE(RAIL VIKAS NIGAM LTD.),RAIL VIKAS NIGAM LTD.,,02/2010,,02/2010,252.5,,252.5,0.0,0.0,249.36,98.76,98.76,0.0,0.0,Low,On Schedule,,Railways,Multi-State / Central,1.0,0.988,5.535,0,36.0,On Schedule,0,Low,1019
